"","date","id","content"
"1",2012-10-22,"하은(whgp****)","또 보고싶어요.꼭 상영 끝나고 DVD 나와주었으면 좋겠어요."
"2",2012-10-22,"mark****","굿"
"3",2012-10-22,"Paparazzi(oksk****)","정치가 얼마나 복잡한건데 광대 하나가 대동법을 밀어붙였다는 것이냐?"
"4",2012-10-22,"도토리백설공주(zaeu****)","진짜 재미써요♥"
"5",2012-10-21,"sosl****","역시 이병헌은 연기를 잘하는 것 같아요^^1인 2역까지 하면서...ㅋㅋ"
"6",2012-10-21,"ANJDL18(kang****)","그제 봤는데 또보고싶어요 ㅜㅜ"
"7",2012-10-21,"중 독자(fall****)","기대"
"8",2012-10-21,"키오켄(sukm****)","보고싶어요"
"9",2012-10-20,"승썬이(hera****)","진짜 세시간 전에 봤는데 또 보고 싶은 영화!!"
"10",2012-10-20,"별이히메(dasy****)","익숙해진 설정으로 무난했고, 기름진 왕 외엔 강렬하게 와닿은 건 없었다."
"11",2012-10-19,"요하니(john****)","어제 보고 왔는데 또 보고 싶어요 ㅎㅎ"
"12",2012-10-17,"The black rose(flyt****)","진짜 오늘 처음 봤는데 계속 봐도 안질릴것 같애요 ㅠㅠ"
"13",2012-10-16,"샘잉(sung****)","!!"
"14",2012-10-16,"laha****","평론가들의 수준이,,,좀 이해가 안가는데여,,,"
"15",2012-10-16,"두둥(gold****)","또 보고 싶다는 정도는 아님! 그냥 딱 한번만 봐도 되는!"
"16",2012-10-15,"애기섬(tjsd****)","또 보고싶어요!!"
"17",2012-10-15,"트리뷰(seun****)","보고싶어요"
"18",2012-10-14,"썩소(kms1****)","또 보고싶음 ㅠㅠㅠㅠ"
"19",2012-10-14,"지안지(dpdl****)","봐도 봐도 또 보고싶은 영화이다"
"20",2012-10-13,"a197****","난옐날영화실어"
"21",2012-10-13,"gusaofur(gusa****)","봐도봐도 또 보고싶은 영화~"
"22",2012-10-13,"cool****","이게 천만영화지~!!머가 천만영화란 말이요"
"23",2012-10-13,"Angela(veri****)","또보고싶다진짜..ㅠㅠㅠㅠㅠㅠㅠㅠ"
"24",2012-10-12,"erfegeterwer(ghkd****)","영화관이라 울면안될거같다는생각은했지만 다시보면 폭풍눈물일거같내요.."
"25",2012-10-12,"두부맘(skrk****)","계속봐도 질리지않을듯?ㅋㅋ 우리언니는 2번이나봤음"
"26",2012-10-12,"rlfd****","ㅋㅋㅋ 3번째 보러감 ㅋㅋ"
"27",2012-10-11,"하얀약(slim****)","이미 봤지만 시험 끝나면 친구랑 또 볼겁니다 ㅎㅎ"
"28",2012-10-11,"천희(shc3****)","짱이에여"
"29",2012-10-09,"민영(01mm****)","완전또보고싶어요!!"
"30",2012-10-09,"비비탄(art1****)","또 보고싶음"
"31",2012-10-09,"byo1****","또 보고싶네요"
"32",2012-10-08,"반혜(khju****)","보고싶어용ㅎㅎㅎㅎㅎㅎㅎ"
"33",2012-10-07,"매촤촤(hwan****)","진짜 봐도봐도 질리지않는!"
"34",2012-10-06,"zzan****","짱짱"
"35",2012-10-06,"혜삐(gpql****)","짱"
"36",2012-10-06,"ttb1****","1000000000000000000000000000000000"
"37",2012-10-05,"티엔(yaya****)","두번봤음 그래도 잼있음 ㅋㅋ 평점 한번밖에 못적는다니 여기 적는다!!"
"38",2012-10-05,"unli****","최고 현실에 정치에 대해서도 고민하게 만드는..."
"39",2012-10-04,"dnlenqhrqt(dlwl****)","볼거야"
"40",2012-10-04,"마시마로(ejch****)","폭군 광해군이 아닌 재조명된 광해군에 대해서만..이 영화 별루임."
"41",2012-10-03,"deme****","보고싶은데 시간이..ㅠㅠㅠㅠ"
"42",2012-10-03,"하늘(skyw****)","굿수수수수수"
"43",2012-10-03,"난니가(8891****)","재밌을것 같음"
"44",2012-10-03,"yh하트(yooh****)","진짜 이건 꼭 봐야되는 영화같음..대통령도 하선같은 가치관을 가져야하는데"
"45",2012-10-03,"얼ㅋ짱ㅋ(duru****)","아 또볼껴진짜 이건 세번봐도 괜찮음"
"46",2012-10-03,"맥심(siim****)","또 보러 갈 거야"
"47",2012-10-03,"Icarus(yesw****)","비평가들의 수준을 좀 모르겠다. 평점 역시 알바가 아닐까?"
"48",2012-10-03,"Hello(kdy6****)","진짜 대박!"
"49",2012-10-02,"Sori(zpsi****)","가족들이랑 보러갔었지만 이번엔 친구들이랑 또 보러가야지.."
"50",2012-10-02,"퓨전스타(yoon****)","한번봤는데 또보러가고싶은..."
"51",2012-10-01,"pastel(t522****)","연기파이병헌의 코미디를볼마지막기회?"
