"","review"
"1",""
"2",""
"3",""
"4",""
"5",""
"6","처음엔 약간 지루함"
"7","여기가 라라랜드보다 노래를 더 잘해??"
"8","모두가 음악으로 하나 되어 노래 하는 순간,그것이 진정한 행복"
"9","짱짱맨~!!"
"10",""
"11","너무 재밌어요^^ 보고 또 봐도 질리지가 않아요!"
"12",""
"13","여행 가서 동생들과 재미있게 봤습니다"
"14",""
"15",""
"16",""
"17","하고싶어요안될까요제발보내드립니다!"
"18",""
"19","태런에저튼 노래 잘부름ㅠㅠㅠ"
"20",""
"21",""
"22","기대에  못미친  비슷한  스토리마이웨이  가사는  역시나  예술"
"23",""
"24",""
"25","재밌고 감동적이다"
"26","?"
"27","우울할 때 약 같이 먹어야 하는 영화몰입도 2/2영상미 2/2내용구성 2/3시사점 2/3"
"28","노래가 중심인데 노래가 별로다."
"29","이런  애니매이션은 처음이에요 .그리고 주인공들 목소리가 정말좋네요"
"30","음악은    최고에요!"
"31",""
"32",""
"33","기대없이 볼만.. 매튜 목소리 개섹시"
"34",""
"35","괜찮네요 킬링타임용으로"
"36","인생의 페이소스를 느끼게 해준 영화, 아 아  무너진 꿈의 폐허위에 흐르는 golden slumbers 이거 하나로 영화가 성취한 건 위대했다 오디션에 나온 인간 군상들과  궁극적으로 우리를 위로하고 있다  코알라는 코끼리를 보고 계속 kid라고 한다 ^^"
"37","역시 토리 켈리(코끼리 역)의 노래는...!"
"38",""
"39",""
"40",""
"41",""
"42",""
"43",""
"44",""
"45","나에게는 노래만 좋은 영화"
"46",""
"47",""
"48",""
"49","아이들이 정말 좋아하는 영화에요! 보는 재미와 듣는 재미..... 감동적인 스토리!! 초반 오디션 참가자들의 짧지만 여러 노래들을 들을 수 있는 부분이 개인적으로는 제일 맘에 듭니다."
"50","최고!!음악도스토리도너무맘에들어요.본지오래됐는데도너무여운이남아요.한번본영화다시보는일별로없는데그뒤로도몇번을봤네요.군터캐릭터완전매력터지고요,리즈위더스푼발음이그렇게정확한지몰랐네요.태런애저튼목소리너무좋은데요!노래도너무잘하고."
"51","노래가 참 좋네요. 스토리면에서는 문안하지만 기대만큼만 좋았어요. 생각보다 큰 감동은 없었지만, 팝을 좋아하는 분이라면 추천할만한 영화. 특히 스칼렛 요한슨 노래 진짜 잘하네요. 놀랐음.."
"52",""
"53","노래자체가 예술....그냥 예술.... 감동을 이끌어내는 드라마"
"54","온 가족이 즐겁게 감상했습니다. ^&^ 끝까지 포기하지 않는다면 반드시 성공한다. ^&^"
"55",""
"56","토리 켈리와 태런 애저튼의 목소리에 대만족"
"57",""
"58",""
"59",""
"60",""
"61","건물이 무나져도 끝가지 열정 있는 그들브라보!!"
"62","위기가 찾아와도 포기하지 않았던 열정 넘치는 그들...센스 넘치는 대사들과 상황들...정교한 소품과 개성 강한 캐릭터들과 멋진 노래들로 가득...웃펐던 세차장...씬"
"63","초등학생 관람 권장."
"64","동물들이 노래하는 것을 보고 신기했다.저는 동물들 중에서 고릴라가 마음에 들었어요. 노래을 잘해서 마음에 들었어요.제가 노래랑 춤을 좋아하거든요.보세요 제미있어요 오디션 해서 뽑여서 된것일 거에요."
"65","예정에 없던 방문지에서 뜻밖의 대접받은 느낌"
"66","완급조절이 아쉽지만, 이런 음악들이 있는데 어찌 즐겁지 않을 수 있겠나."
"67","노래를 참 잘하네요. 큰 감동은 없었지만 흥겨운 애니뮤직 영화입니다."
"68","어깨가 절로 들썩들썩...최고!!"
"69","아직도 향수에 젖은 그 노래들과 편곡의 예술이 느껴지는 쇼~"
